Timestamp,I am 18+ and I consent to anonymous data collection for academic purposes only.,Country/Region,Primary role,Age (years),Gender (optional),Which wellness/mental health apps have you used in the last 6 months? (select all that apply),How often do you journal?,How often do you chat with an AI companion for support?,Typical journaling session length (minutes),How often do you journal late at night (after 11pm)?,Average sleep hours per night (past 2 weeks),Average number of meetings/classes per day (past 2 weeks),How many deadlines/exams in the next 7 days?,"In the last 2 weeks, how often did you feel overwhelmed?","In the last 2 weeks, how often did you feel things were going your way? (reverse-scored)","In the last 2 weeks, how often did you feel confident about handling personal problems? (reverse-scored)","In the last 2 weeks, how often did you feel difficulties were piling up too high?",Overall mood today,Which emotions did you often experience in the last week? (select all that apply),I am concerned about privacy of my journals.,I prefer on-device processing even if features are limited.,I am okay with personalized nudges if they help my wellbeing.,I am willing to share anonymized analytics for research.,What would you want from a wellbeing companion? (open text),Any concerns about such apps? (open text)
08/22/2025 12:11:00,Agree,India,Healthcare Worker,49,Female,"MindShift, Stoic, Jour, Moodpath, Replika, Sanvello, Headspace, Daylio, Insight Timer, Calm",Always,Never,11-15,Sometimes,4 hours,9+,1,Never,2-3x/week,Sometimes,Never,Positive,"Anger, Overwhelmed, Sadness, Lonely",Strongly disagree,Disagree,Neutral,Strongly disagree,More personalization,None
08/24/2025 16:03:00,Agree,India,Freelancer,19,Female,"Insight Timer, Calm, Youper, Sanvello, MindShift, None, Reflectly, Stoic, Wysa, MindDoc, Replika, Daylio, Headspace, Moodpath",Sometimes,Sometimes,16-20,Sometimes,10+ hours,5-6,1,Always,Weekly,Daily,Always,Negative,"Hopeful, Grateful, Tired, Joy, Overwhelmed",Strongly agree,Disagree,Strongly agree,Neutral,Professional support integration,Technical issues
08/25/2025 20:04:00,Agree,India,Student,59,Prefer not to say,"Insight Timer, Stoic, Youper, MindDoc, Sanvello, Jour, Calm, None, Headspace, Replika",Rarely,Weekly,1-5,Weekly,5 hours,0,0,Daily,Daily,Sometimes,Sometimes,Neutral,"Overwhelmed, Anxiety",Strongly agree,Neutral,Strongly disagree,Strongly disagree,Voice input,Addiction to apps
08/23/2025 07:34:00,Agree,India,Other,63,Non-binary,"Daylio, Reflectly, None, Calm",2-3x/week,Rarely,1-5,Weekly,7 hours,1-2,4,Sometimes,Weekly,Daily,2-3x/week,Positive,"Frustrated, Peaceful, Anger",Disagree,Strongly disagree,Neutral,Strongly agree,Journaling prompts,Stigma around mental health apps
08/24/2025 04:24:00,Agree,India,Researcher,38,Prefer not to say,"Youper, Moodpath, Jour",Sometimes,Never,0,Rarely,10 hours,5-6,2,Rarely,Never,Sometimes,Rarely,Neutral,"Overwhelmed, Frustrated",Strongly agree,Strongly disagree,Strongly agree,Neutral,More personalization,Stigma around mental health apps
08/22/2025 15:13:00,Agree,India,Healthcare Worker,60,Non-binary,"MindDoc, Youper, Reflectly",Sometimes,Daily,21-30,Sometimes,6 hours,7-8,2,Sometimes,2-3x/week,Daily,2-3x/week,Positive,"Lonely, Grateful, Excited",Disagree,Strongly agree,Disagree,Disagree,Integration with other apps,Lack of human connection
08/26/2025 01:40:00,Agree,India,Working Professional,48,Female,"Youper, Jour, Stoic, None, Wysa",Weekly,Always,30+,Always,4 hours,3-4,2,Rarely,Always,Daily,Always,Negative,"Overwhelmed, Hopeful, Tired, Excited, Sadness",Agree,Strongly disagree,Disagree,Agree,Voice input,Cost
08/24/2025 13:05:00,Agree,India,Researcher,30,Female,"Headspace, Sanvello, Replika, Stoic, Calm, None, Moodpath, MindShift, Jour, Wysa, Reflectly",Never,Sometimes,21-30,Daily,10 hours,3-4,3,2-3x/week,Weekly,Weekly,Never,Negative,"Joy, Tired, Stressed",Disagree,Strongly agree,Disagree,Disagree,Better UI/UX,AI accuracy
08/25/2025 04:23:00,Agree,India,Teacher,42,Male,"Calm, Reflectly, Insight Timer, Jour, None, MindShift, Youper, Daylio, Moodpath, Replika, MindDoc, Wysa, Stoic, Headspace",Weekly,Rarely,0,Rarely,7 hours,1-2,5,Always,Daily,2-3x/week,Weekly,Neutral,"Calm, Anger, Peaceful",Strongly agree,Disagree,Disagree,Neutral,Professional support integration,Data security
08/25/2025 04:13:00,Agree,India,Freelancer,60,Non-binary,"Reflectly, Sanvello, MindShift, Headspace, Stoic, Insight Timer, Jour, Youper, Daylio, Moodpath, MindDoc, Replika, None, Calm, Wysa",Rarely,Never,0,Daily,8 hour sleep,3-4,3,Always,Sometimes,Never,Sometimes,Neutral,"Overwhelmed, Lonely, Peaceful, Hopeful, Anger",Agree,Agree,Strongly agree,Agree,Integration with other apps,Stigma around mental health apps
08/24/2025 06:02:00,Agree,India,Working Professional,18,Prefer not to say,"MindDoc, Stoic, Sanvello, Headspace, Replika, Youper, MindShift, Jour, Moodpath, Calm, Insight Timer, Daylio, Reflectly, None",Never,Weekly,16-20,Sometimes,10+ hours,3-4,0,2-3x/week,Weekly,Always,Daily,Neutral,"Frustrated, Grateful",Disagree,Neutral,Strongly disagree,Strongly agree,Mood tracking,Stigma around mental health apps
08/22/2025 11:52:00,Agree,India,Teacher,35,Female,"Stoic, Moodpath, Headspace, Calm, Reflectly, None, Replika, Daylio, Insight Timer, MindShift, Wysa",Weekly,Sometimes,11-15,Never,9 hours,3-4,0,2-3x/week,Always,2-3x/week,2-3x/week,Negative,"Overwhelmed, Lonely, Tired, Anger, Stressed",Disagree,Neutral,Strongly disagree,Neutral,Better privacy controls,Data security
08/26/2025 13:28:00,Agree,India,Teacher,49,Non-binary,"None, Sanvello, MindShift, MindDoc, Jour, Replika, Insight Timer, Calm, Youper, Moodpath, Wysa, Reflectly, Stoic, Daylio, Headspace",Weekly,Always,6-10,Daily,10+ hours,1-2,3,Rarely,2-3x/week,Sometimes,Daily,Positive,"Sadness, Stressed, Lonely, Calm, Joy",Disagree,Strongly agree,Disagree,Agree,Professional support integration,Addiction to apps
08/22/2025 12:20:00,Agree,India,Other,52,Prefer not to say,"Moodpath, Calm, Daylio, Jour, Insight Timer, None, MindDoc, Sanvello, Reflectly, MindShift, Youper, Stoic, Wysa",Daily,Weekly,11-15,Daily,9 hours,1-2,0,Never,2-3x/week,Sometimes,Weekly,Positive,"Lonely, Excited, Tired, Frustrated",Agree,Disagree,Neutral,Strongly agree,Better AI responses,Privacy concerns
08/26/2025 01:43:00,Agree,India,Student,57,Prefer not to say,"Moodpath, Youper, Sanvello, Insight Timer, Wysa",Never,Daily,16-20,Weekly,10 hours,7-8,2,Sometimes,Always,Always,Sometimes,Negative,"Peaceful, Stressed",Strongly disagree,Neutral,Agree,Strongly disagree,Professional support integration,Addiction to apps
08/23/2025 17:53:00,Agree,India,Student,54,Female,"Youper, Daylio, Wysa, Replika, Sanvello, Stoic, None",Sometimes,Daily,1-5,Never,6 hours,1-2,2,Weekly,Daily,Weekly,Never,Negative,"Anger, Lonely, Overwhelmed, Calm, Anxiety",Neutral,Neutral,Neutral,Neutral,Offline functionality,Lack of human connection
08/21/2025 17:31:00,Agree,India,Healthcare Worker,24,Female,"Headspace, MindDoc, None, Calm, Stoic, Youper, Insight Timer, Daylio, Reflectly",Weekly,Rarely,0,Daily,8 hour sleep,3-4,1,Always,Always,Daily,Rarely,Positive,"Frustrated, Lonely, Stressed",Disagree,Disagree,Strongly agree,Strongly agree,Better privacy controls,Stigma around mental health apps
08/23/2025 15:48:00,Agree,India,Freelancer,46,Male,"Stoic, None, Calm, Wysa, Replika, Insight Timer",Weekly,2-3x/week,6-10,Never,10 hours,9+,3,2-3x/week,Sometimes,Rarely,2-3x/week,Positive,"Anxiety, Overwhelmed",Strongly agree,Neutral,Strongly agree,Neutral,Professional support integration,Data security
08/23/2025 21:56:00,Agree,India,Researcher,59,Non-binary,"MindDoc, Moodpath, Youper, MindShift, Jour, Reflectly, Insight Timer, Daylio",Sometimes,Daily,1-5,Sometimes,9 hours,3-4,1,Sometimes,Sometimes,2-3x/week,Never,Neutral,"Overwhelmed, Hopeful",Strongly agree,Agree,Disagree,Agree,Better privacy controls,Technical issues
08/26/2025 09:46:00,Agree,India,Teacher,40,Non-binary,"Daylio, Moodpath, None, Calm, MindDoc",Rarely,Rarely,16-20,Always,10 hours,0,0,Sometimes,Daily,Never,Rarely,Positive,"Peaceful, Stressed, Anxiety, Grateful",Neutral,Strongly agree,Strongly agree,Neutral,Better privacy controls,AI accuracy
08/26/2025 15:03:00,Agree,India,Other,26,Non-binary,"Reflectly, Moodpath, Sanvello, Daylio, Youper, None, Stoic, Calm, Headspace, MindShift, Wysa, Replika, Jour",Always,2-3x/week,11-15,Rarely,8 hour sleep,9+,2,Never,Always,Never,Rarely,Negative,"Hopeful, Anger",Disagree,Neutral,Agree,Agree,Progress tracking,Addiction to apps
08/23/2025 05:55:00,Agree,India,Student,26,Non-binary,"MindShift, Sanvello, Youper, Daylio, None, Stoic, MindDoc, Replika, Reflectly",Rarely,Rarely,16-20,Weekly,5 hours,9+,5,Daily,Daily,Rarely,Weekly,Negative,"Peaceful, Calm",Disagree,Neutral,Neutral,Disagree,Offline functionality,None
08/24/2025 14:22:00,Agree,India,Freelancer,50,Female,"Daylio, Moodpath, MindShift, Replika, Wysa, Stoic",Always,Rarely,1-5,Always,10 hours,0,5,Never,Sometimes,Always,Never,Neutral,"Calm, Tired, Lonely, Anxiety, Overwhelmed",Agree,Strongly disagree,Strongly disagree,Disagree,Mood tracking,Cost
08/23/2025 09:34:00,Agree,India,Researcher,31,Prefer not to say,"Calm, Jour, Youper, MindDoc, None, Reflectly, Stoic, Insight Timer",Never,Daily,30+,Rarely,5 hours,9+,6+,Always,Daily,Rarely,2-3x/week,Positive,"Frustrated, Tired, Hopeful, Peaceful, Excited",Disagree,Agree,Disagree,Disagree,Journaling prompts,Lack of human connection
08/24/2025 07:57:00,Agree,India,Researcher,36,Non-binary,"Reflectly, Stoic, Insight Timer, None, Daylio, MindShift, Replika, Moodpath, Youper",Daily,Weekly,30+,Never,10+ hours,7-8,4,Rarely,Always,2-3x/week,Weekly,Positive,"Peaceful, Excited, Grateful",Strongly agree,Agree,Agree,Neutral,Offline functionality,Privacy concerns
08/25/2025 06:45:00,Agree,India,Healthcare Worker,44,Male,"Sanvello, Headspace, Daylio, Moodpath, Wysa, Replika, MindShift, Calm, Insight Timer",Weekly,Rarely,16-20,Rarely,5 hours,3-4,4,Never,Always,Daily,Daily,Neutral,"Calm, Overwhelmed, Stressed",Strongly agree,Agree,Agree,Agree,Integration with other apps,Lack of human connection
08/22/2025 06:14:00,Agree,India,Student,23,Female,"Youper, None, Stoic, Calm, Reflectly, Jour, Headspace",Rarely,Always,1-5,Always,10+ hours,7-8,6+,Sometimes,Daily,Weekly,Weekly,Negative,"Excited, Anxiety",Agree,Disagree,Strongly disagree,Strongly agree,Mood tracking,Other
08/26/2025 19:26:00,Agree,India,Student,63,Prefer not to say,"Stoic, MindDoc, Sanvello, Replika, Wysa, None, Insight Timer, Daylio, Moodpath",Always,Rarely,30+,Always,9 hours,3-4,2,Always,Daily,Always,Rarely,Neutral,"Frustrated, Hopeful, Excited",Disagree,Disagree,Strongly disagree,Agree,Integration with other apps,Lack of human connection
08/26/2025 22:14:00,Agree,India,Healthcare Worker,20,Prefer not to say,"Wysa, Moodpath, MindShift",Sometimes,Daily,21-30,Weekly,10 hours,5-6,0,Daily,Sometimes,Always,Weekly,Neutral,"Joy, Anxiety, Calm",Strongly disagree,Agree,Disagree,Disagree,Better privacy controls,None
08/24/2025 07:18:00,Agree,India,Healthcare Worker,39,Prefer not to say,"Daylio, MindShift",Never,Rarely,6-10,Sometimes,5 hours,9+,2,Always,Rarely,Sometimes,2-3x/week,Positive,"Anxiety, Frustrated, Joy, Sadness",Strongly agree,Strongly disagree,Disagree,Strongly agree,Voice input,Data security
08/23/2025 14:17:00,Agree,India,Researcher,41,Female,"MindShift, Jour, Insight Timer, MindDoc",Always,Rarely,16-20,Sometimes,5 hours,7-8,5,2-3x/week,Sometimes,Weekly,Rarely,Positive,"Lonely, Anger, Overwhelmed, Peaceful",Agree,Strongly agree,Strongly agree,Neutral,Progress tracking,AI accuracy
08/22/2025 05:02:00,Agree,India,Researcher,61,Male,"MindShift, Insight Timer, Moodpath, Jour, Calm, Wysa, Stoic, Daylio, Headspace, MindDoc, Sanvello, Youper, Reflectly",Always,Sometimes,21-30,Sometimes,5 hours,5-6,6+,Daily,Rarely,Always,2-3x/week,Positive,"Hopeful, Sadness",Strongly agree,Strongly disagree,Strongly disagree,Agree,Community support,Cost
08/21/2025 09:25:00,Agree,India,Working Professional,62,Male,"Replika, Calm, Jour, Moodpath, Stoic",Weekly,Weekly,1-5,Rarely,10 hours,9+,6+,Always,Sometimes,Weekly,2-3x/week,Positive,"Hopeful, Stressed, Calm, Sadness, Anger",Agree,Strongly agree,Strongly agree,Disagree,Journaling prompts,Lack of human connection
08/24/2025 03:30:00,Agree,India,Working Professional,27,Female,"Calm, Jour, Stoic, Youper, Replika, Moodpath, None, Reflectly, Daylio, MindShift, Insight Timer",Sometimes,2-3x/week,6-10,2-3x/week,8 hour sleep,9+,6+,Weekly,Sometimes,2-3x/week,Daily,Positive,"Grateful, Overwhelmed, Hopeful, Sadness, Anxiety",Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Better AI responses,Over-reliance on AI
08/22/2025 19:29:00,Agree,India,Researcher,60,Prefer not to say,"Daylio, MindShift, Wysa, Moodpath",2-3x/week,2-3x/week,0,Weekly,9 hours,0,4,Daily,Sometimes,Never,Never,Neutral,"Hopeful, Lonely, Peaceful, Grateful, Anger",Strongly disagree,Disagree,Disagree,Agree,Better UI/UX,Lack of human connection
08/26/2025 10:14:00,Agree,India,Healthcare Worker,29,Male,"Sanvello, Replika, MindDoc, Reflectly, Wysa, Moodpath, Headspace, Insight Timer, MindShift",Sometimes,Rarely,16-20,Daily,5 hours,5-6,4,Never,Rarely,2-3x/week,Rarely,Positive,"Sadness, Excited, Frustrated, Overwhelmed",Agree,Disagree,Strongly agree,Strongly disagree,Journaling prompts,Other
08/21/2025 03:59:00,Agree,India,Working Professional,55,Female,"None, Youper, MindDoc, Headspace, Insight Timer, Replika, Sanvello, Daylio, Moodpath, Jour, Wysa, Calm, Stoic",Rarely,Always,1-5,Daily,10+ hours,9+,3,Daily,Daily,Sometimes,2-3x/week,Negative,"Stressed, Frustrated",Strongly agree,Neutral,Agree,Agree,Progress tracking,Stigma around mental health apps
08/24/2025 00:42:00,Agree,India,Researcher,22,Female,"Stoic, Daylio",2-3x/week,Rarely,0,2-3x/week,6 hours,1-2,0,Rarely,Rarely,Never,Weekly,Positive,"Excited, Tired, Peaceful, Grateful",Neutral,Strongly disagree,Neutral,Neutral,Better privacy controls,Other
08/25/2025 05:30:00,Agree,India,Student,57,Non-binary,"Headspace, Youper, Stoic, Daylio, Replika, Sanvello, MindShift, MindDoc",Always,Never,21-30,Weekly,9 hours,5-6,0,Always,Never,Rarely,Rarely,Negative,"Calm, Anger",Strongly agree,Neutral,Agree,Agree,Better UI/UX,AI accuracy
08/24/2025 17:16:00,Agree,India,Working Professional,63,Female,"MindDoc, None, Moodpath, Stoic",Sometimes,2-3x/week,6-10,Sometimes,4 hours,0,2,2-3x/week,Weekly,Sometimes,Always,Positive,"Lonely, Anxiety",Neutral,Agree,Agree,Strongly disagree,Better privacy controls,Over-reliance on AI
08/21/2025 18:21:00,Agree,India,Freelancer,49,Female,"Stoic, Wysa, Replika, Insight Timer, Moodpath, MindDoc, Jour",Sometimes,Always,0,Sometimes,5 hours,0,4,2-3x/week,Never,Always,Sometimes,Neutral,"Lonely, Sadness",Strongly disagree,Disagree,Strongly agree,Agree,More personalization,Other
08/24/2025 06:29:00,Agree,India,Student,23,Male,"Insight Timer, Calm, Headspace, Sanvello",2-3x/week,Never,11-15,2-3x/week,9 hours,0,0,Always,2-3x/week,2-3x/week,Sometimes,Neutral,"Grateful, Sadness, Anxiety, Tired, Calm",Agree,Strongly agree,Agree,Neutral,Mood tracking,Cost
08/24/2025 07:16:00,Agree,India,Other,20,Prefer not to say,"Headspace, None, Calm, Sanvello, Reflectly, Replika, Moodpath, Jour, Youper, Daylio, Wysa, MindDoc",Sometimes,2-3x/week,16-20,Sometimes,10+ hours,0,5,Never,Always,Daily,Never,Positive,"Peaceful, Anxiety, Excited, Overwhelmed",Strongly disagree,Strongly disagree,Strongly agree,Neutral,Offline functionality,AI accuracy
08/25/2025 01:21:00,Agree,India,Working Professional,27,Male,"Wysa, Stoic",Rarely,Always,0,Always,5 hours,3-4,4,Daily,2-3x/week,2-3x/week,Sometimes,Positive,"Stressed, Overwhelmed, Lonely, Frustrated",Agree,Agree,Strongly agree,Strongly disagree,Better UI/UX,AI accuracy
08/22/2025 23:43:00,Agree,India,Healthcare Worker,18,Male,"Moodpath, None, Jour, MindShift, Sanvello",Always,Sometimes,6-10,Sometimes,9 hours,7-8,3,Weekly,Sometimes,Never,Weekly,Neutral,"Lonely, Grateful, Frustrated",Neutral,Disagree,Neutral,Disagree,Professional support integration,Over-reliance on AI
08/24/2025 11:28:00,Agree,India,Freelancer,32,Female,"Stoic, Reflectly, MindDoc, MindShift, None, Jour, Headspace, Moodpath, Sanvello",Daily,Sometimes,30+,Daily,6 hours,1-2,6+,Daily,Rarely,2-3x/week,Rarely,Negative,"Stressed, Peaceful",Disagree,Agree,Agree,Strongly agree,Better privacy controls,Data security
08/23/2025 14:10:00,Agree,India,Working Professional,62,Non-binary,"Daylio, MindDoc, Sanvello, MindShift, Jour, Calm, Reflectly, Insight Timer, None, Wysa, Headspace, Youper, Moodpath, Stoic",2-3x/week,Weekly,16-20,Never,10 hours,7-8,6+,Daily,2-3x/week,Rarely,Daily,Positive,"Sadness, Overwhelmed, Grateful",Neutral,Strongly disagree,Strongly disagree,Strongly agree,Offline functionality,None
08/23/2025 15:53:00,Agree,India,Teacher,63,Male,"Youper, Replika, Daylio",Weekly,Sometimes,21-30,Rarely,10 hours,0,2,Always,Daily,Never,Daily,Neutral,"Hopeful, Joy, Calm, Stressed, Grateful",Strongly agree,Strongly disagree,Agree,Strongly disagree,Journaling prompts,Stigma around mental health apps
08/24/2025 06:21:00,Agree,India,Healthcare Worker,52,Male,"Insight Timer, Wysa, None, Youper, Daylio, MindShift, Calm, MindDoc, Stoic, Reflectly, Moodpath, Replika, Sanvello",Sometimes,Sometimes,0,Always,7 hours,0,2,Always,Weekly,Always,Never,Negative,"Anxiety, Tired, Overwhelmed",Strongly agree,Strongly disagree,Neutral,Neutral,Progress tracking,Over-reliance on AI
08/21/2025 23:35:00,Agree,India,Researcher,64,Non-binary,"Wysa, MindDoc, Sanvello, Headspace, Jour",Weekly,Daily,0,Rarely,6 hours,5-6,2,Daily,Sometimes,Always,Sometimes,Positive,"Overwhelmed, Stressed, Frustrated, Peaceful, Calm",Strongly agree,Strongly disagree,Disagree,Neutral,Integration with other apps,Addiction to apps
08/25/2025 12:26:00,Agree,India,Student,25,Prefer not to say,"Moodpath, Replika, Reflectly, MindShift, Daylio, Jour, Calm, Insight Timer, Headspace, Sanvello",Daily,Daily,21-30,Sometimes,7 hours,3-4,0,Sometimes,Daily,Rarely,2-3x/week,Positive,"Grateful, Sadness, Frustrated, Overwhelmed, Tired",Neutral,Disagree,Disagree,Strongly agree,Journaling prompts,Technical issues
08/23/2025 16:39:00,Agree,India,Teacher,50,Male,"MindShift, Stoic, Daylio, Reflectly, Youper, Insight Timer, None, Sanvello, Wysa, Moodpath, Replika, Calm",Daily,Weekly,0,Weekly,6 hours,9+,5,2-3x/week,2-3x/week,Sometimes,Never,Negative,"Peaceful, Calm",Disagree,Neutral,Strongly agree,Strongly disagree,Better UI/UX,Cost
08/24/2025 13:47:00,Agree,India,Freelancer,41,Non-binary,MindShift,Daily,Weekly,21-30,Weekly,10+ hours,5-6,3,Weekly,Rarely,Weekly,Sometimes,Negative,"Anger, Overwhelmed, Peaceful, Grateful, Stressed",Agree,Strongly disagree,Agree,Neutral,Better privacy controls,Technical issues
08/21/2025 08:22:00,Agree,India,Researcher,18,Non-binary,"Moodpath, Sanvello",Daily,Weekly,30+,Weekly,5 hours,1-2,2,Rarely,Daily,Rarely,Rarely,Negative,"Grateful, Peaceful",Strongly agree,Strongly agree,Agree,Neutral,Mood tracking,Lack of human connection
08/24/2025 10:35:00,Agree,India,Freelancer,19,Female,"Wysa, MindShift, None, Sanvello, Youper, Insight Timer, Headspace, Calm, Stoic, Replika, Reflectly, Jour, Moodpath, MindDoc",Never,Always,21-30,Weekly,10 hours,7-8,3,Always,Daily,Always,2-3x/week,Neutral,"Stressed, Overwhelmed, Anxiety",Agree,Strongly agree,Disagree,Strongly disagree,Integration with other apps,Privacy concerns
08/25/2025 09:25:00,Agree,India,Working Professional,49,Prefer not to say,None,2-3x/week,Never,1-5,Daily,10 hours,9+,5,Rarely,Never,Rarely,2-3x/week,Negative,"Calm, Sadness, Frustrated",Disagree,Agree,Agree,Disagree,Community support,AI accuracy
08/22/2025 09:05:00,Agree,India,Freelancer,23,Non-binary,"Stoic, Insight Timer, Jour, Youper, None, Replika",Weekly,Weekly,1-5,Sometimes,7 hours,9+,6+,Rarely,Weekly,Never,Never,Negative,"Tired, Stressed, Sadness, Calm, Grateful",Strongly disagree,Agree,Neutral,Strongly disagree,Voice input,Lack of human connection
08/26/2025 04:06:00,Agree,India,Student,44,Non-binary,Insight Timer,Rarely,Daily,11-15,Rarely,6 hours,0,4,Weekly,Always,Rarely,Rarely,Positive,"Overwhelmed, Joy, Anxiety",Agree,Neutral,Disagree,Strongly disagree,Offline functionality,Privacy concerns
