Timestamp,I am 18+ and I consent to anonymous data collection for academic purposes only.,Country/Region,Primary role,Age (years),Gender (optional),Which wellness/mental health apps have you used in the last 6 months? (select all that apply),How often do you journal?,How often do you chat with an AI companion for support?,Typical journaling session length (minutes),How often do you journal late at night (after 11pm)?,Average sleep hours per night (past 2 weeks),Average number of meetings/classes per day (past 2 weeks),How many deadlines/exams in the next 7 days?,"In the last 2 weeks, how often did you feel overwhelmed?","In the last 2 weeks, how often did you feel things were going your way? (reverse-scored)","In the last 2 weeks, how often did you feel confident about handling personal problems? (reverse-scored)","In the last 2 weeks, how often did you feel difficulties were piling up too high?",Overall mood today,Which emotions did you often experience in the last week? (select all that apply),I am concerned about privacy of my journals.,I prefer on-device processing even if features are limited.,I am okay with personalized nudges if they help my wellbeing.,I am willing to share anonymized analytics for research.,What would you want from a wellbeing companion? (open text),Any concerns about such apps? (open text)
08/23/2025 14:02:00,Agree,India,Student,29,Non-binary,"MindShift, Moodpath",Sometimes,Rarely,1-5,Weekly,9 hours,9+,1,Never,Never,Always,2-3x/week,Negative,"Tired, Excited, Hopeful",Neutral,Agree,Strongly agree,Disagree,Mood tracking,Cost
08/22/2025 06:58:00,Agree,India,Freelancer,39,Non-binary,"Daylio, Youper, Replika, Stoic, Sanvello",2-3x/week,Always,16-20,Always,10+ hours,1-2,4,2-3x/week,Never,Always,Sometimes,Neutral,"Calm, Frustrated, Stressed, Overwhelmed",Neutral,Neutral,Neutral,Disagree,Voice input,Cost
08/24/2025 16:26:00,Agree,India,Other,52,Male,"Reflectly, Youper, Insight Timer, Replika, Headspace, Jour, Daylio, Stoic, MindDoc, MindShift, Calm, Sanvello, Moodpath, Wysa, None",2-3x/week,Rarely,11-15,Rarely,10 hours,9+,5,Always,2-3x/week,Sometimes,Daily,Positive,"Joy, Hopeful",Strongly disagree,Strongly disagree,Agree,Strongly disagree,Voice input,Over-reliance on AI
08/21/2025 18:34:00,Agree,India,Researcher,19,Non-binary,"None, MindDoc, MindShift, Wysa",2-3x/week,Rarely,21-30,Never,10 hours,0,2,Weekly,Rarely,Never,Never,Negative,"Frustrated, Overwhelmed, Anger, Peaceful, Stressed",Neutral,Strongly agree,Strongly agree,Strongly disagree,Mood tracking,Over-reliance on AI
08/24/2025 01:29:00,Agree,India,Other,29,Non-binary,"MindDoc, Insight Timer, Sanvello, Reflectly, Daylio, Youper, Headspace, Wysa",Always,Always,0,Daily,8 hour sleep,0,2,Sometimes,Daily,2-3x/week,Sometimes,Positive,"Joy, Anger, Anxiety, Sadness, Calm",Disagree,Neutral,Neutral,Disagree,Progress tracking,Over-reliance on AI
08/21/2025 09:52:00,Agree,India,Working Professional,23,Female,"MindShift, None, Insight Timer, Calm, MindDoc, Daylio, Youper, Replika, Sanvello, Wysa, Reflectly, Stoic",Rarely,Sometimes,0,Sometimes,5 hours,7-8,0,Never,Always,Never,2-3x/week,Neutral,"Joy, Calm, Grateful",Strongly disagree,Agree,Disagree,Neutral,Mood tracking,Addiction to apps
08/22/2025 22:03:00,Agree,India,Teacher,54,Male,"Replika, Headspace, MindShift, Stoic, Youper, Calm, MindDoc, Wysa, Reflectly",Always,Daily,0,2-3x/week,5 hours,5-6,1,Rarely,Rarely,Rarely,Weekly,Negative,"Hopeful, Anxiety, Frustrated, Overwhelmed",Disagree,Strongly agree,Strongly agree,Disagree,Offline functionality,Addiction to apps
08/24/2025 12:15:00,Agree,India,Working Professional,41,Female,"Insight Timer, Reflectly, Youper, Calm, MindDoc, MindShift",2-3x/week,Daily,16-20,Sometimes,6 hours,9+,2,Rarely,Sometimes,Weekly,Always,Positive,"Joy, Sadness, Stressed, Frustrated, Anxiety",Agree,Agree,Neutral,Agree,Better UI/UX,Stigma around mental health apps
08/22/2025 04:05:00,Agree,India,Other,19,Male,"Reflectly, Wysa, Daylio, Stoic, Insight Timer, None, Moodpath, Replika, Headspace, Jour",Always,Weekly,0,Weekly,9 hours,1-2,3,Never,Weekly,Never,Always,Neutral,"Anger, Lonely, Grateful",Agree,Neutral,Agree,Strongly agree,Better UI/UX,Addiction to apps
08/21/2025 05:15:00,Agree,India,Working Professional,43,Non-binary,"Jour, Calm, Sanvello, Replika, None, MindDoc, Reflectly, Youper, MindShift, Moodpath, Wysa, Insight Timer, Daylio",Never,Weekly,1-5,Never,5 hours,3-4,4,2-3x/week,Always,Rarely,2-3x/week,Negative,"Overwhelmed, Anger, Joy",Neutral,Strongly disagree,Strongly disagree,Neutral,Voice input,Stigma around mental health apps
08/26/2025 11:50:00,Agree,India,Freelancer,30,Male,"Calm, None, Sanvello, Daylio",Rarely,Never,16-20,Daily,10 hours,1-2,1,Weekly,2-3x/week,Never,Weekly,Positive,"Lonely, Stressed, Anger, Peaceful, Overwhelmed",Neutral,Strongly disagree,Neutral,Strongly agree,Better UI/UX,Lack of human connection
08/24/2025 14:31:00,Agree,India,Other,53,Non-binary,"Headspace, Moodpath, Youper, Daylio, Replika, Sanvello",2-3x/week,Rarely,11-15,Rarely,6 hours,7-8,2,Never,Never,2-3x/week,Daily,Neutral,"Calm, Tired, Grateful, Anxiety, Stressed",Neutral,Strongly agree,Strongly disagree,Agree,Better AI responses,Data security
08/21/2025 17:35:00,Agree,India,Student,37,Non-binary,"Daylio, Jour, Calm, Moodpath, Wysa, Youper, Insight Timer, None, Sanvello, MindShift, Stoic, Replika",Weekly,2-3x/week,1-5,2-3x/week,5 hours,1-2,3,Never,Never,Rarely,2-3x/week,Positive,"Anxiety, Calm, Grateful, Lonely",Disagree,Strongly disagree,Disagree,Agree,More personalization,Cost
08/26/2025 10:51:00,Agree,India,Freelancer,44,Male,"Headspace, Jour, None, Stoic, MindDoc, Moodpath, Sanvello, Insight Timer, Daylio, Reflectly",Daily,Weekly,11-15,Daily,4 hours,0,1,2-3x/week,Never,Weekly,Daily,Positive,"Excited, Grateful, Anger",Strongly disagree,Agree,Strongly disagree,Neutral,Community support,Over-reliance on AI
08/24/2025 18:05:00,Agree,India,Freelancer,46,Non-binary,"Insight Timer, Moodpath, Sanvello",Daily,Weekly,1-5,Always,4 hours,1-2,1,Weekly,Always,Never,2-3x/week,Neutral,"Joy, Lonely, Sadness",Agree,Disagree,Strongly disagree,Disagree,Better UI/UX,AI accuracy
08/26/2025 19:30:00,Agree,India,Teacher,50,Prefer not to say,"Youper, Replika, Wysa, Insight Timer, Moodpath, Daylio, Stoic, Headspace, MindShift",Always,Rarely,6-10,Daily,4 hours,1-2,4,2-3x/week,Never,Never,Daily,Negative,"Grateful, Hopeful",Strongly disagree,Disagree,Strongly disagree,Neutral,More personalization,Other
08/24/2025 06:57:00,Agree,India,Researcher,50,Non-binary,"Reflectly, Stoic, Sanvello, None, Daylio",Always,Sometimes,16-20,Rarely,6 hours,7-8,4,Rarely,Weekly,Never,2-3x/week,Neutral,"Peaceful, Anger",Strongly disagree,Neutral,Strongly agree,Disagree,More personalization,None
08/25/2025 15:34:00,Agree,India,Healthcare Worker,48,Non-binary,"Insight Timer, Reflectly, Jour, Moodpath, MindDoc, Youper, Sanvello, Headspace, Daylio, None, Stoic, MindShift, Calm, Replika, Wysa",Rarely,Rarely,1-5,Sometimes,5 hours,7-8,1,2-3x/week,2-3x/week,Daily,Sometimes,Positive,"Peaceful, Frustrated",Agree,Strongly agree,Neutral,Neutral,Progress tracking,Lack of human connection
08/23/2025 11:00:00,Agree,India,Teacher,29,Female,"None, Wysa, Replika, Daylio",2-3x/week,Weekly,21-30,2-3x/week,7 hours,7-8,2,Never,Weekly,Always,Always,Neutral,"Anxiety, Lonely, Joy, Sadness",Agree,Agree,Strongly agree,Neutral,Better privacy controls,Over-reliance on AI
08/23/2025 05:40:00,Agree,India,Other,60,Prefer not to say,"Replika, MindDoc, Reflectly, Youper, Jour, Insight Timer, Calm, Sanvello, Headspace, Daylio, Stoic, MindShift, None, Wysa",Always,Rarely,21-30,Rarely,5 hours,7-8,3,Weekly,Sometimes,2-3x/week,Always,Positive,"Peaceful, Tired, Hopeful, Stressed",Strongly agree,Strongly agree,Strongly agree,Neutral,Better UI/UX,Other
08/26/2025 02:39:00,Agree,India,Student,20,Female,"Headspace, Sanvello, Calm, Jour, Replika, Wysa",2-3x/week,Sometimes,6-10,Sometimes,10+ hours,1-2,3,Weekly,Always,Never,2-3x/week,Neutral,"Sadness, Hopeful",Agree,Strongly disagree,Strongly disagree,Disagree,Better privacy controls,AI accuracy
08/25/2025 03:17:00,Agree,India,Healthcare Worker,38,Non-binary,"Sanvello, MindDoc, Moodpath, Calm, None, Reflectly, Insight Timer, Daylio, Jour, Headspace, Stoic, MindShift, Wysa, Replika, Youper",Always,Weekly,11-15,Weekly,7 hours,5-6,5,Sometimes,Rarely,Daily,Daily,Positive,"Calm, Overwhelmed",Disagree,Disagree,Strongly disagree,Disagree,Better AI responses,Stigma around mental health apps
08/24/2025 08:18:00,Agree,India,Healthcare Worker,29,Female,"Headspace, Calm, MindShift, Daylio, Sanvello, Replika, Moodpath, Jour, MindDoc, Stoic, Wysa, None, Reflectly, Insight Timer, Youper",Always,Always,30+,Always,6 hours,1-2,0,Never,Rarely,2-3x/week,Sometimes,Negative,"Hopeful, Excited, Tired, Anxiety",Strongly disagree,Disagree,Strongly disagree,Strongly agree,Voice input,Over-reliance on AI
08/21/2025 17:14:00,Agree,India,Working Professional,18,Prefer not to say,MindDoc,Sometimes,Sometimes,0,Daily,6 hours,0,2,Never,2-3x/week,Sometimes,Daily,Positive,"Frustrated, Peaceful, Stressed, Joy",Disagree,Neutral,Disagree,Disagree,Community support,Technical issues
08/25/2025 14:09:00,Agree,India,Other,37,Prefer not to say,"Jour, Youper, Reflectly, Sanvello, Insight Timer",2-3x/week,Sometimes,0,Sometimes,10 hours,9+,3,2-3x/week,Rarely,Daily,Never,Positive,"Sadness, Frustrated, Calm",Disagree,Neutral,Disagree,Disagree,More personalization,Over-reliance on AI
08/24/2025 15:19:00,Agree,India,Healthcare Worker,21,Male,"None, Daylio, Insight Timer, Wysa, MindShift, Reflectly, Jour, Moodpath, MindDoc, Youper, Calm, Stoic, Replika",Weekly,Rarely,1-5,Never,7 hours,0,0,Always,Never,Sometimes,2-3x/week,Positive,"Stressed, Joy, Calm",Strongly agree,Disagree,Strongly disagree,Neutral,Professional support integration,Technical issues
08/25/2025 00:44:00,Agree,India,Researcher,61,Male,"Daylio, MindDoc, Jour, Sanvello, Headspace, Stoic",Daily,Daily,1-5,Sometimes,10 hours,0,0,2-3x/week,Daily,Sometimes,Weekly,Neutral,"Overwhelmed, Hopeful, Tired, Grateful, Excited",Disagree,Agree,Neutral,Neutral,Voice input,Cost
08/21/2025 00:11:00,Agree,India,Teacher,37,Male,"MindDoc, Headspace, Wysa, Calm, Replika, Daylio, Jour, Youper, Insight Timer, Moodpath, Stoic, None, Reflectly, Sanvello, MindShift",Rarely,Weekly,6-10,Never,6 hours,0,3,Weekly,Rarely,Weekly,Sometimes,Positive,"Stressed, Overwhelmed",Strongly agree,Neutral,Strongly agree,Neutral,Better AI responses,Privacy concerns
08/21/2025 07:09:00,Agree,India,Healthcare Worker,61,Male,"Insight Timer, Reflectly, Jour, Calm, MindDoc, Headspace, Replika, Daylio",Never,Weekly,30+,2-3x/week,5 hours,7-8,3,2-3x/week,2-3x/week,Daily,Weekly,Positive,"Frustrated, Grateful, Tired, Calm",Agree,Strongly agree,Disagree,Neutral,Offline functionality,Other
08/22/2025 08:09:00,Agree,India,Researcher,24,Female,"MindShift, Reflectly, None, Wysa, Replika, Insight Timer",Sometimes,Sometimes,21-30,Always,10 hours,3-4,5,Never,Never,Weekly,Always,Positive,"Frustrated, Grateful, Anxiety, Hopeful",Disagree,Strongly agree,Strongly agree,Neutral,Professional support integration,Over-reliance on AI
08/22/2025 15:08:00,Agree,India,Researcher,30,Prefer not to say,"Moodpath, Wysa, Youper",Always,Rarely,1-5,Daily,5 hours,9+,4,Weekly,2-3x/week,Sometimes,Sometimes,Neutral,"Frustrated, Excited, Stressed, Peaceful, Overwhelmed",Strongly disagree,Disagree,Strongly disagree,Disagree,More personalization,Cost
08/23/2025 09:04:00,Agree,India,Working Professional,54,Female,"Youper, Replika, None, Daylio, Sanvello, Wysa, Moodpath, Reflectly, MindShift, Calm, Insight Timer, MindDoc, Jour, Headspace, Stoic",Never,Weekly,30+,Rarely,10+ hours,0,0,Sometimes,Daily,Daily,Always,Neutral,"Hopeful, Tired",Strongly agree,Strongly disagree,Neutral,Neutral,Professional support integration,Technical issues
08/26/2025 20:35:00,Agree,India,Healthcare Worker,59,Female,"Sanvello, Moodpath, MindDoc, Daylio, Wysa, Headspace, Youper, Stoic",2-3x/week,Rarely,1-5,Daily,4 hours,5-6,4,Weekly,Rarely,Daily,Daily,Neutral,"Overwhelmed, Peaceful",Neutral,Strongly agree,Strongly agree,Disagree,More personalization,None
08/22/2025 21:52:00,Agree,India,Freelancer,52,Prefer not to say,None,Sometimes,Always,6-10,Sometimes,10+ hours,5-6,5,Daily,Rarely,2-3x/week,Rarely,Positive,"Grateful, Hopeful, Calm",Strongly agree,Agree,Agree,Disagree,Integration with other apps,AI accuracy
08/26/2025 19:44:00,Agree,India,Working Professional,37,Prefer not to say,"Sanvello, Jour, Headspace, Moodpath, Daylio, Stoic, Youper, MindDoc, MindShift, Insight Timer, None, Wysa, Reflectly",Daily,2-3x/week,16-20,Never,8 hour sleep,7-8,2,Never,Always,2-3x/week,Never,Neutral,"Excited, Anger",Strongly agree,Disagree,Disagree,Disagree,Better AI responses,Cost
08/24/2025 09:37:00,Agree,India,Working Professional,30,Female,"Reflectly, Moodpath, Daylio, MindShift, Wysa, None, Jour, Stoic, Replika, MindDoc, Headspace, Sanvello, Calm",Daily,Always,1-5,Always,10 hours,3-4,5,Sometimes,Weekly,Weekly,Always,Neutral,"Joy, Anxiety, Hopeful",Neutral,Neutral,Neutral,Agree,Offline functionality,Over-reliance on AI
08/26/2025 13:49:00,Agree,India,Researcher,52,Prefer not to say,"Reflectly, Jour, Wysa, Daylio",Never,Daily,1-5,Sometimes,4 hours,7-8,3,Sometimes,Daily,Always,Rarely,Neutral,"Calm, Sadness, Frustrated, Overwhelmed",Strongly disagree,Strongly disagree,Strongly disagree,Agree,More personalization,AI accuracy
08/26/2025 18:21:00,Agree,India,Working Professional,61,Male,"MindDoc, Youper, Wysa, Daylio, Sanvello, Calm, Headspace, Moodpath, Reflectly, Replika, MindShift, Jour, Insight Timer",Always,Always,30+,Sometimes,8 hour sleep,1-2,3,2-3x/week,Always,Weekly,Sometimes,Positive,"Stressed, Peaceful, Calm",Agree,Strongly disagree,Disagree,Strongly agree,Integration with other apps,Privacy concerns
08/21/2025 18:55:00,Agree,India,Freelancer,45,Prefer not to say,"Calm, Wysa, Youper, Reflectly, Insight Timer, MindDoc, MindShift",Rarely,Always,16-20,Never,9 hours,9+,1,Never,Never,Rarely,Daily,Neutral,"Frustrated, Calm, Excited, Tired, Grateful",Strongly disagree,Agree,Strongly disagree,Strongly disagree,Progress tracking,Addiction to apps
08/23/2025 01:53:00,Agree,India,Researcher,41,Female,"Calm, MindShift, Insight Timer, Stoic, Youper, Moodpath, Jour, Reflectly, Replika, Wysa, MindDoc, Sanvello, None, Headspace, Daylio",Weekly,Always,11-15,Daily,6 hours,5-6,6+,Weekly,Daily,Rarely,Sometimes,Neutral,"Grateful, Joy, Frustrated, Stressed",Disagree,Neutral,Strongly disagree,Disagree,Better UI/UX,Over-reliance on AI
08/21/2025 10:15:00,Agree,India,Student,45,Female,"MindShift, Moodpath, Youper, Replika, Daylio, Wysa, Calm, Headspace, Sanvello, Reflectly, MindDoc, Stoic, None, Insight Timer, Jour",Always,Never,30+,Always,9 hours,7-8,2,Daily,Weekly,Daily,Always,Neutral,"Calm, Stressed, Lonely",Neutral,Agree,Disagree,Strongly agree,Better AI responses,Addiction to apps
08/24/2025 22:42:00,Agree,India,Working Professional,29,Non-binary,"Reflectly, Daylio, Insight Timer",Always,Always,0,Never,8 hour sleep,9+,6+,Daily,Never,Always,Always,Negative,"Excited, Tired",Strongly agree,Neutral,Disagree,Strongly agree,Better AI responses,AI accuracy
08/25/2025 15:58:00,Agree,India,Student,51,Male,"None, Daylio, MindShift, Calm, Wysa",Daily,Sometimes,6-10,Never,10+ hours,0,3,Daily,Sometimes,Weekly,Sometimes,Negative,"Overwhelmed, Stressed, Lonely, Grateful, Tired",Strongly agree,Agree,Strongly disagree,Strongly agree,Integration with other apps,Lack of human connection
08/24/2025 09:14:00,Agree,India,Researcher,44,Male,"Stoic, MindDoc, Calm, Youper, Daylio, Jour, MindShift, Moodpath, Insight Timer, Headspace, None, Sanvello",Always,Daily,11-15,Weekly,8 hour sleep,7-8,4,Weekly,Sometimes,Never,Weekly,Negative,"Anxiety, Calm, Anger, Lonely, Sadness",Strongly disagree,Strongly agree,Strongly disagree,Disagree,More personalization,AI accuracy
08/25/2025 16:53:00,Agree,India,Researcher,52,Female,"Wysa, MindDoc, Reflectly",Rarely,Always,1-5,Weekly,4 hours,9+,1,Weekly,Rarely,Always,Never,Positive,"Sadness, Frustrated, Hopeful, Joy",Agree,Strongly disagree,Neutral,Strongly agree,Better AI responses,Lack of human connection
08/23/2025 12:02:00,Agree,India,Working Professional,61,Non-binary,"Sanvello, Insight Timer, Youper, Reflectly, MindDoc, Daylio, Wysa, None, Moodpath, MindShift, Jour, Replika, Stoic, Calm",Rarely,Always,0,Never,10 hours,5-6,2,Daily,Weekly,Always,2-3x/week,Positive,"Stressed, Joy, Calm, Tired",Agree,Agree,Strongly disagree,Strongly disagree,Community support,Cost
08/21/2025 21:01:00,Agree,India,Freelancer,37,Male,"Wysa, Sanvello, MindDoc, Jour, Stoic, Reflectly, None, Insight Timer, Calm, Youper, Headspace, Daylio, MindShift",Rarely,2-3x/week,6-10,Rarely,5 hours,5-6,2,Sometimes,Sometimes,Never,2-3x/week,Neutral,"Calm, Excited, Grateful, Hopeful",Neutral,Strongly disagree,Neutral,Strongly agree,Better UI/UX,None
08/22/2025 23:45:00,Agree,India,Student,64,Non-binary,"None, Reflectly, Calm, Headspace, Sanvello, MindDoc, Moodpath, Youper, Replika, Stoic, Daylio, Wysa, Jour, Insight Timer, MindShift",Daily,Rarely,0,2-3x/week,8 hour sleep,1-2,5,Rarely,2-3x/week,Daily,2-3x/week,Positive,"Sadness, Joy, Excited",Neutral,Neutral,Agree,Neutral,More personalization,Data security
08/25/2025 00:28:00,Agree,India,Researcher,22,Non-binary,"Stoic, MindShift, Reflectly, Insight Timer, None, Sanvello, MindDoc, Daylio, Replika, Wysa, Jour, Youper, Headspace, Calm",Never,Never,1-5,Sometimes,9 hours,3-4,5,Weekly,Always,Rarely,Rarely,Negative,"Joy, Anger",Neutral,Disagree,Strongly disagree,Strongly disagree,Community support,AI accuracy
08/24/2025 06:28:00,Agree,India,Healthcare Worker,48,Female,"MindShift, Headspace, Stoic",Sometimes,Sometimes,11-15,Rarely,5 hours,0,3,Daily,Never,Always,Daily,Positive,"Joy, Sadness",Disagree,Agree,Strongly agree,Neutral,Integration with other apps,Data security
08/24/2025 17:53:00,Agree,India,Student,26,Prefer not to say,"Reflectly, Sanvello, Headspace, Insight Timer",Always,2-3x/week,6-10,Always,4 hours,9+,5,Daily,Rarely,Daily,2-3x/week,Positive,"Lonely, Anger, Calm, Hopeful",Strongly agree,Strongly agree,Neutral,Strongly agree,Mood tracking,Privacy concerns
08/21/2025 20:47:00,Agree,India,Researcher,25,Male,"None, Wysa, Sanvello, MindDoc, Insight Timer, Jour, MindShift, Daylio, Replika, Reflectly",Weekly,Daily,0,Weekly,5 hours,5-6,0,Sometimes,Weekly,Rarely,2-3x/week,Positive,"Frustrated, Sadness, Peaceful",Strongly disagree,Neutral,Neutral,Strongly agree,Progress tracking,Privacy concerns
08/21/2025 06:25:00,Agree,India,Other,26,Female,"None, MindDoc, Wysa, Daylio, Insight Timer, Reflectly, Youper, Stoic",Weekly,Always,0,Always,10 hours,5-6,6+,Always,2-3x/week,2-3x/week,Sometimes,Negative,"Calm, Sadness, Excited",Strongly disagree,Disagree,Agree,Agree,Integration with other apps,Addiction to apps
08/22/2025 11:23:00,Agree,India,Researcher,48,Female,"Moodpath, Jour, MindDoc, Calm, Replika, Wysa, Daylio, Youper, Sanvello, MindShift, None, Stoic, Insight Timer",Always,Daily,1-5,Daily,8 hour sleep,0,0,Daily,Rarely,Weekly,Never,Neutral,"Grateful, Hopeful, Lonely",Neutral,Strongly disagree,Agree,Agree,Community support,Addiction to apps
08/22/2025 01:09:00,Agree,India,Healthcare Worker,40,Prefer not to say,"Jour, Replika, Stoic, MindDoc, Insight Timer, Moodpath, Wysa, MindShift, None, Calm, Sanvello, Youper, Reflectly, Daylio",Sometimes,2-3x/week,6-10,Daily,10 hours,9+,4,2-3x/week,Daily,Rarely,Sometimes,Positive,"Tired, Stressed, Grateful, Excited, Lonely",Neutral,Neutral,Strongly disagree,Disagree,Offline functionality,Cost
08/26/2025 19:32:00,Agree,India,Freelancer,29,Non-binary,"Wysa, Daylio, Stoic, Sanvello, Moodpath, Jour, Reflectly, Insight Timer, Calm",2-3x/week,Always,1-5,2-3x/week,9 hours,1-2,3,2-3x/week,Daily,Daily,Never,Neutral,"Stressed, Sadness, Grateful",Strongly agree,Disagree,Disagree,Disagree,Voice input,Lack of human connection
08/23/2025 04:31:00,Agree,India,Student,44,Non-binary,"Stoic, MindDoc, MindShift, Reflectly, Wysa, Daylio",Always,Daily,1-5,Daily,4 hours,5-6,1,Weekly,2-3x/week,Rarely,Rarely,Positive,"Joy, Frustrated, Grateful",Disagree,Disagree,Strongly agree,Strongly agree,Better UI/UX,Over-reliance on AI
08/26/2025 23:49:00,Agree,India,Researcher,40,Non-binary,"Daylio, MindShift, Calm, Jour",Sometimes,Rarely,6-10,2-3x/week,7 hours,3-4,2,Weekly,Never,Daily,Rarely,Negative,"Sadness, Excited, Lonely, Frustrated, Peaceful",Strongly disagree,Strongly agree,Agree,Strongly disagree,Voice input,Cost
08/22/2025 06:08:00,Agree,India,Freelancer,20,Female,"Reflectly, MindDoc, Sanvello, Moodpath, None, Calm, MindShift, Replika, Jour, Insight Timer, Wysa, Headspace, Youper, Stoic",Weekly,2-3x/week,0,Never,9 hours,1-2,3,Always,2-3x/week,Daily,Daily,Negative,"Excited, Calm, Frustrated, Overwhelmed",Neutral,Strongly agree,Neutral,Neutral,Offline functionality,Over-reliance on AI
08/24/2025 04:11:00,Agree,India,Other,27,Female,"Wysa, Headspace, Insight Timer, Youper, Moodpath, Stoic, MindShift, Daylio, Reflectly, Sanvello",Daily,Sometimes,21-30,Rarely,10 hours,3-4,0,2-3x/week,2-3x/week,Weekly,Weekly,Negative,"Sadness, Anxiety",Neutral,Agree,Agree,Strongly agree,Mood tracking,Cost
08/25/2025 19:29:00,Agree,India,Student,25,Non-binary,"Sanvello, Youper, MindDoc, Insight Timer, Moodpath, Stoic, Replika",Always,Always,30+,Weekly,5 hours,5-6,3,Sometimes,Never,Always,Rarely,Neutral,"Excited, Grateful, Stressed, Sadness, Joy",Disagree,Strongly agree,Agree,Agree,More personalization,Addiction to apps
